c1[SiH2]c-2c(-c1)cn-c1c-2sc2ccc3c[SiH2]cc3c12,"[1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
c1ccc2c(c1)sc1c2[se]c2ccc3cCcc3c12,"[2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
c1[SiH2]c2c(-c1)[se]c1c2Cc2ccc3c[SiH2]cc3c12,"[1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
c1cc2[se]c3c([se]c4ccc5c[SiH2]cc5c34)c2s1,"[1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
c1cc2cn-c3c(Cc4ccc5c[SiH2]cc5c34)-c2[se]1,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
[nH]1-c2c([se]c3cc[se]c23)-c2c1ccc1ccccc21,"[2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
c1ccc(s1)-c1sc(-c2ccccn2)c2cc[se]c12,"[0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
c1Cc(cc1)-c1ccc([se]1)-c1scc2[SiH2]ccc12,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
c1Cc2c(-c1)c1cscc1c1c2[se]c2cc[se]c12,"[1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
[nH]-1cc-c2c-1c1[se]c3-cc[SiH2]c3c1c1c[SiH2]cc21,"[1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
c1cc2c3c[SiH2]cc3c3c4-nccc-c4Cc3c2[se]1,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
Cn1cccc1-c1ccc(-c2[SiH2]ccc2)n1C,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
c1[SiH2]c-2c([SiH2]c3c-2c2cscc2c2-cccn-c32)-c1,"[1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
c1Cc2c(-c1)[se]c1c3sccc3c3c[SiH2]cc3c21,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
